model,timestep,task,metric_value,best_layer
B,699,boundary,0.7427,res::down_blocks.3.resnets.1
B,599,boundary,0.7410,res::down_blocks.3.resnets.1
B,499,boundary,0.7402,res::down_blocks.3.resnets.1
B,399,boundary,0.7409,res::down_blocks.3.resnets.1
B,299,boundary,0.7412,res::down_blocks.3.resnets.1
B,199,boundary,0.7315,res::down_blocks.3.resnets.1
B,99,boundary,0.7337,res::down_blocks.3.resnets.1
B,999,ordinal,0.7264,res::up_blocks.0.resnets.1
B,899,ordinal,0.7230,res::up_blocks.0.resnets.1
B,799,ordinal,0.7166,res::up_blocks.0.resnets.1
B,699,ordinal,0.7176,res::up_blocks.0.resnets.1
B,599,ordinal,0.7216,res::up_blocks.0.resnets.1
B,499,ordinal,0.7189,res::up_blocks.0.resnets.1
B,399,ordinal,0.7201,res::up_blocks.0.resnets.1
B,299,ordinal,0.7240,res::up_blocks.0.resnets.1
B,199,ordinal,0.7244,res::up_blocks.0.resnets.1
B,99,ordinal,0.7302,res::up_blocks.0.resnets.1
B,999,depth,0.1668,res::up_blocks.0.resnets.1
B,899,depth,0.1663,res::up_blocks.0.resnets.1
B,799,depth,0.1597,res::up_blocks.0.resnets.1
B,699,depth,0.1733,res::up_blocks.0.resnets.1
B,599,depth,0.1766,res::up_blocks.0.resnets.1
B,499,depth,0.1791,res::up_blocks.0.resnets.1
B,399,depth,0.1716,res::up_blocks.0.resnets.1
B,299,depth,0.1686,res::up_blocks.0.resnets.1
B,199,depth,0.1675,res::up_blocks.0.resnets.1
B,99,depth,0.1766,res::up_blocks.0.resnets.1
B,999,boundary,0.7475,res::up_blocks.0.resnets.1
B,899,boundary,0.7351,res::up_blocks.0.resnets.1
B,799,boundary,0.7373,res::up_blocks.0.resnets.1
B,699,boundary,0.7336,res::up_blocks.0.resnets.1
B,599,boundary,0.7369,res::up_blocks.0.resnets.1
B,499,boundary,0.7361,res::up_blocks.0.resnets.1
B,399,boundary,0.7430,res::up_blocks.0.resnets.1
B,299,boundary,0.7386,res::up_blocks.0.resnets.1
B,199,boundary,0.7420,res::up_blocks.0.resnets.1
B,99,boundary,0.7437,res::up_blocks.0.resnets.1
B,999,ordinal,0.7307,res::up_blocks.1.resnets.0
B,899,ordinal,0.7362,res::up_blocks.1.resnets.0
B,799,ordinal,0.7352,res::up_blocks.1.resnets.0
B,699,ordinal,0.7333,res::up_blocks.1.resnets.0
B,599,ordinal,0.7335,res::up_blocks.1.resnets.0
B,499,ordinal,0.7301,res::up_blocks.1.resnets.0
B,399,ordinal,0.7391,res::up_blocks.1.resnets.0
B,299,ordinal,0.7388,res::up_blocks.1.resnets.0
B,199,ordinal,0.7383,res::up_blocks.1.resnets.0
B,99,ordinal,0.7304,res::up_blocks.1.resnets.0
B,999,depth,0.1561,res::up_blocks.1.resnets.0
B,899,depth,0.1611,res::up_blocks.1.resnets.0
